raw,id,address,price,beds,baths,sq_ft,pool,subj_remodel_score,throw_out,sold_price,sold_date,lot_size,list_price,list_price2,list_price3,list_price4,list_price5,list_price6,list_price7,list_price8,list_price9,list_price10,list_price11,list_price12,list_date1,list_date2,list_date3,list_date4,list_date5,list_date6,list_date7,list_date8,list_date9,list_date10,list_date11,list_date12,list_date13,list_date14,for_sale_price
"2 bd2 ba2,226 sqft 2620 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $504,500 remodel-1 pool0 lot5227",25,"2620 Huber Heights Dr, Las Vegas, NV 89128",504500,2,2,2226,0,-1,0,-1,-1,5227,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"5 bd4 ba3,394 sqft 2616 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $722,400 remodel5 pool1 lot5662",26,"2616 Huber Heights Dr, Las Vegas, NV 89128",722400,5,4,3394,1,5,0,-1,-1,5662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd4 ba3,152 sqft 2612 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $627,000 remodel-1 pool1 lot5662",27,"2612 Huber Heights Dr, Las Vegas, NV 89128",627000,4,4,3152,1,-1,0,-1,-1,5662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"5 bd3.5 ba3,394 sqft 2608 Huber Heights Dr, Las Vegas, NV 89128 Off market Zestimate®: $696,100 remodel-1 pool1 lot5662",28,"2608 Huber Heights Dr, Las Vegas, NV 89128",696100,5,5,3394,1,-1,0,-1,-1,5662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"3 bd2 ba1,703 sqft 8412 Justine Ct, Las Vegas, NV 89128 Closed : $460,000Sold on 10/26/23Zestimate®: $486,500 remodel4 pool0 lot6534 10/26/2023 Sold $460,000 9/13/2023 Pending sale $475,000 9/7/2023 Listed for sale $475,000",29,"8412 Justine Ct, Las Vegas, NV 89128",486500,3,2,1703,0,4,0,460000,10/26/23,6534,475000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,09/07/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd3 ba2,551 sqft 8424 Bay Point Dr, Las Vegas, NV 89128 Closed : $515,000Sold on 12/29/23Zestimate®: $536,900 remodel4 pool0 lot5662 12/29/2023 Sold $515,000 12/19/2023 Contingent $560,000 12/12/2023 Listed for sale $560,000",30,"8424 Bay Point Dr, Las Vegas, NV 89128",536900,4,3,2551,0,4,0,515000,12/29/23,5662,560000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12/12/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"5 bd4 ba3,342 sqft 8432 Bay Crest Dr, Las Vegas, NV 89128 Closed : $610,000Sold on 04/25/24Zestimate®: notOne! remodel4 pool1 lot5662 4/25/2024 Sold $610,000",31,"8432 Bay Crest Dr, Las Vegas, NV 89128",#N/A,5,4,3342,1,4,0,610000,04/25/24,5662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd3 ba2,118 sqft 8416 Sea Glen Dr, Las Vegas, NV 89128 Closed : $480,000Sold on 10/13/23Zestimate®: $509,000 remodel4 pool1 lot5662 10/13/2023 Sold $480,000 9/21/2023 Contingent $475,000 9/13/2023 Listed for sale $475,000",32,"8416 Sea Glen Dr, Las Vegas, NV 89128",509000,4,3,2118,1,4,0,480000,10/13/23,5662,475000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,09/13/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"3 bd3 ba2,118 sqft 8328 Sea Glen Dr, Las Vegas, NV 89128 Closed : $497,500Sold on 02/15/24Zestimate®: $512,700 remodel4 pool0 lot5662 2/15/2024 Sold $497,500 1/26/2024 Contingent $497,500 1/12/2024 Price change1 $497,500 12/14/2023 Listed for sale $527,500",33,"8328 Sea Glen Dr, Las Vegas, NV 89128",512700,3,3,2118,0,4,0,497500,02/15/24,5662,527500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12/14/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4 bd3 ba2,118 sqft 2513 Huber Heights Dr, Las Vegas, NV 89128 Closed : $565,000Sold on 01/30/24Zestimate®: $584,700 remodel8 pool1 lot6534 1/30/2024 Sold $565,000 12/21/2023 Pending sale $568,900 12/17/2023 Listed for sale $568,900 12/14/2023 Pending sale $568,900 12/11/2023 Price change4 $568,900 12/4/2023 Price change3 $569,000 11/14/2023 Price change2 $569,900 11/7/2023 Price change1 $579,800 11/6/2023 Listed for sale $579,900",34,"2513 Huber Heights Dr, Las Vegas, NV 89128",584700,4,3,2118,1,8,0,565000,01/30/24,6534,568900,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12/17/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"5 bd3 ba2,451 sqft 8425 Haven Brook Ct, Las Vegas, NV 89128 Closed : $550,000Sold on 12/15/23Zestimate®: $575,200 remodel-1 pool1 lot6098 12/15/2023 Sold $550,000 11/20/2023 Pending sale $560,000 11/15/2023 Listed for sale $560,000 11/10/2023 Pending sale $560,000 11/6/2023 Price change9 $560,000 10/23/2023 Listed for sale $565,000 10/7/2023 Pending sale $565,000 10/6/2023 Price change8 $565,000 9/26/2023 Price change7 $575,000 9/21/2023 Listed for sale $585,000 9/20/2023 Pending sale $585,000 9/15/2023 Price change6 $585,000 8/30/2023 Price change5 $595,000 8/22/2023 Listed for sale $600,000 8/15/2023 Pending sale $600,000 8/7/2023 Price change4 $600,000 7/28/2023 Price change3 $615,000 7/14/2023 Price change2 $625,000 7/3/2023 Price change1 $640,000 5/15/2023 Listed for sale $645,000",35,"8425 Haven Brook Ct, Las Vegas, NV 89128",575200,5,3,2451,1,-1,0,550000,12/15/23,6098,560000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11/15/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
